,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
152,10848,12544,12544,12560,12576,12592,9952,12208,12512,12576,12608,12592,10320,12480,12528,12592,12576,12560
153,10672,12512,12592,12640,12544,12528,9728,11984,12576,12576,12528,12544,10112,12496,12496,12512,12528,12592
154,10480,12464,12544,12608,12560,12528,9584,11760,12576,12576,12528,12528,10000,12496,12528,12528,12512,12576
155,10320,12432,12512,12576,12576,12544,9424,11584,12560,12640,12576,12528,9856,12448,12560,12544,12480,12544
156,10176,12448,12496,12576,12576,12592,9232,11520,12544,12624,12608,12528,9696,12432,12560,12560,12496,12496
157,9984,12496,12528,12528,12544,12576,8992,11472,12496,12576,12592,12560,9472,12416,12544,12608,12544,12512
158,9744,12464,12544,12560,12512,12576,8800,11408,12496,12592,12592,12608,9312,12416,12544,12592,12560,12528
159,9552,12432,12592,12576,12512,12544,8608,11360,12512,12544,12576,12592,9120,12416,12480,12576,12560,12544
160,9328,12288,12592,12608,12528,12512,8320,11248,12544,12544,12544,12576,8880,12352,12496,12528,12544,12592
161,9072,12064,12576,12624,12528,12512,8112,11152,12560,12592,12528,12560,8704,12272,12512,12512,12528,12592
162,8864,11888,12528,12592,12592,12544,7952,11088,12576,12624,12528,12512,8560,12144,12528,12512,12464,12576
163,8704,11680,12496,12592,12544,12576,7840,11008,12512,12640,12528,12528,8448,12016,12560,12528,12448,12560
164,8560,11584,12512,12560,12560,12608,7600,10880,12528,12624,12592,12528,8240,11728,12576,12576,12496,12480
165,8320,11520,12528,12544,12544,12576,7216,10640,12448,12576,12592,12576,7872,11520,12560,12608,12544,12512
166,7904,11376,12544,12560,12496,12560,7024,10512,12464,12560,12576,12592,7728,11472,12528,12592,12576,12544
167,7712,11312,12608,12592,12512,12528,6912,10432,12496,12544,12560,12608,7600,11440,12464,12560,12544,12544
168,7584,11232,12576,12624,12528,12496,6736,10336,12480,12544,12512,12576,7440,11376,12496,12544,12560,12592
169,7408,11136,12528,12592,12592,12560,6560,10192,12496,12624,12576,12544,7264,11296,12560,12592,12528,12528
170,7216,11024,12576,12576,12512,12544,6384,10048,12448,12560,12528,12560,7088,11216,12512,12528,12528,12576
171,7008,10880,12512,12576,12576,12608,6160,9856,12368,12608,12608,12592,6880,11056,12528,12592,12592,12560
172,6768,10704,12576,12624,12544,12512,5984,9728,12368,12576,12528,12576,6720,10960,12464,12496,12512,12576
173,6592,10560,12528,12608,12576,12544,5792,9536,12240,12576,12528,12528,6528,10816,12480,12512,12496,12576
174,6352,10368,12464,12576,12592,12544,5536,9264,11968,12656,12640,12656,6272,10608,12528,12592,12576,12624
175,6048,10128,12576,12608,12560,12608,5408,9088,12128,12656,12608,12592,6080,10416,12528,12640,12592,12624
176,5824,9888,12560,12656,12624,12624,5200,8832,11776,12656,12640,12640,5920,10224,12448,12592,12560,12624
177,5632,9696,12544,12624,12576,12592,5088,8704,11664,12656,12624,12608,5824,10144,12448,12640,12592,12624
178,5536,9600,12512,12656,12624,12640,4976,8592,11472,12640,12640,12656,5728,10032,12400,12608,12544,12608
179,5424,9456,12512,12640,12576,12592,4896,8448,11392,12656,12624,12592,5632,9920,12432,12640,12592,12624
180,5312,9280,12512,12656,12624,12640,4768,8240,11312,12624,12624,12640,5472,9696,12416,12608,12544,12624
181,5120,9040,12544,12640,12592,12576,4624,8000,11216,12656,12624,12608,5360,9488,12416,12640,12608,12624
182,4976,8800,12528,12640,12624,12656,4528,7792,11136,12608,12640,12656,5248,9344,12416,12592,12544,12608
183,4864,8608,12560,12640,12576,12592,4432,7648,11056,12672,12640,12608,5152,9184,12400,12640,12608,12640
184,4752,8416,12512,12624,12608,12656,4336,7456,10944,12608,12624,12640,5056,8992,12384,12560,12544,12576
185,4640,8192,12544,12640,12592,12592,4240,7152,10768,12656,12640,12624,4912,8656,12240,12624,12608,12656
186,4448,7824,12400,12624,12608,12640,4128,6880,10608,12592,12608,12624,4848,8464,12112,12592,12560,12592
187,4352,7616,12400,12640,12592,12592,4080,6752,10512,12656,12656,12624,4784,8336,11920,12608,12608,12640
188,4304,7456,12240,12608,12592,12640,4032,6560,10368,12608,12592,12640,4752,8128,11680,12608,12544,12592
189,4224,7216,12032,12624,12576,12592,3968,6320,10208,12656,12656,12624,4688,7888,11424,12608,12592,12656
190,4144,6976,11632,12608,12592,12640,3920,6144,10048,12592,12592,12624,4656,7728,11360,12592,12560,12608
191,4080,6784,11440,12608,12528,12528,3904,5968,9920,12560,12544,12560,4624,7552,11280,12496,12480,12576
192,4032,6592,11344,12512,12544,12608,3872,5776,9728,12544,12608,12624,4592,7328,11152,12528,12560,12576
193,3984,6368,11200,12608,12544,12544,3872,5584,9536,12576,12560,12560,4560,7120,11008,12512,12496,12512
194,3936,6144,11056,12544,12512,12576,3856,5440,9376,12496,12560,12608,4544,6960,10896,12448,12528,12608
195,3920,5984,10912,12592,12576,12592,3856,5312,9232,12544,12608,12592,4544,6800,10768,12496,12528,12528
196,3904,5824,10768,12560,12512,12528,3872,5168,9056,12448,12512,12592,4544,6656,10624,12352,12528,12608
197,3888,5664,10624,12576,12544,12544,3888,5040,8864,12416,12512,12560,4560,6480,10464,12304,12528,12608
198,3872,5488,10432,12560,12592,12608,3920,4864,8624,12368,12608,12608,4576,6272,10272,12304,12544,12560
199,3872,5296,10224,12544,12528,12544,3952,4736,8432,12208,12528,12592,4592,6128,10096,12064,12464,12592
200,3888,5152,10016,12496,12576,12576,4000,4640,8256,12032,12544,12576,4640,6016,9952,11904,12464,12592
